Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Tor*Toolwear,temp_diff,power [rps]
2,298.1,308.6,1551,42.8,0,0,0.0,10.5,1101.9544799999999
1,298.2,308.7,1408,46.3,3,0,138.89999999999998,10.5,1082.1606399999998
1,298.1,308.5,1498,49.4,5,0,247.0,10.399999999999977,1228.41992
1,298.2,308.6,1433,39.5,7,0,276.5,10.400000000000034,939.6181
1,298.2,308.7,1408,40.0,9,0,360.0,10.5,934.912
2,298.1,308.6,1425,41.9,11,0,460.9,10.5,991.1445
1,298.1,308.6,1558,42.4,14,0,593.6,10.5,1096.5827199999999
1,298.1,308.6,1527,40.2,16,0,643.2,10.5,1018.99764
2,298.3,308.7,1667,28.6,18,0,514.8000000000001,10.399999999999977,791.42492
2,298.5,309.0,1741,28.0,21,0,588.0,10.5,809.2168
0,298.4,308.9,1782,23.9,24,0,573.5999999999999,10.5,706.9906799999999
0,298.6,309.1,1423,44.3,29,0,1284.6999999999998,10.5,1046.44574
2,298.6,309.1,1339,51.1,34,0,1737.4,10.5,1135.8201400000003
2,298.6,309.2,1742,30.0,37,0,1110.0,10.599999999999966,867.516
1,298.6,309.2,2035,19.6,40,0,784.0,10.599999999999966,662.1076
1,298.6,309.2,1542,48.4,42,0,2032.8,10.599999999999966,1238.9044800000001
2,298.6,309.2,1311,46.6,44,0,2050.4,10.599999999999966,1014.13716
2,298.7,309.2,1410,45.6,47,0,2143.2000000000003,10.5,1067.3136
0,298.8,309.2,1306,54.5,50,0,2725.0,10.399999999999977,1181.5382
2,298.9,309.3,1632,32.5,55,0,1787.5,10.400000000000034,880.464
0,298.9,309.3,1375,42.7,58,0,2476.6000000000004,10.400000000000034,974.6275000000002
1,298.8,309.3,1450,44.8,63,0,2822.3999999999996,10.5,1078.3359999999998
2,298.9,309.3,1581,30.7,65,0,1995.5,10.400000000000034,805.70922
1,299.0,309.4,1758,25.7,68,0,1747.6,10.399999999999977,749.99796
2,299.0,309.4,1561,37.3,70,0,2611.0,10.399999999999977,966.5399799999999
1,299.0,309.5,1861,23.3,73,0,1700.9,10.5,719.79758
1,299.1,309.5,1512,39.0,75,0,2925.0,10.399999999999977,978.8688
0,299.1,309.4,1811,24.6,77,0,1894.2,10.299999999999955,739.5399600000001
1,299.1,309.4,1439,44.2,82,0,3624.4,10.299999999999955,1055.8230800000001
1,299.0,309.4,1693,30.1,84,0,2528.4,10.399999999999977,845.92438
2,299.1,309.5,1339,48.2,86,0,4145.2,10.399999999999977,1071.36068
1,299.0,309.4,1798,25.5,89,0,2269.5,10.399999999999977,761.0934
1,299.0,309.4,1419,48.3,91,0,4395.3,10.399999999999977,1137.7258199999999
1,298.9,309.3,1665,32.5,93,0,3022.5,10.400000000000034,898.2675
2,298.8,309.1,1559,34.7,95,0,3296.5000000000005,10.300000000000011,898.0151800000001
2,298.8,309.2,1452,48.6,98,0,4762.8,10.399999999999977,1171.41552
2,298.9,309.2,1581,36.7,101,0,3706.7000000000003,10.300000000000011,963.1768200000001
1,298.8,309.1,1439,39.2,104,0,4076.8,10.300000000000011,936.3860800000001
